Sample	isSMA	isCarrier	SMN1_CN	SMN2_CN	SMN*_CN	Total_CN_raw	Full_length_CN_raw	g.27134T>G_CN	population
HG00321	False	False	2	1	0	2.932	2.921	0	EUR
NA12813	False	False	2	2	0	3.968	4.009	0	EUR
NA18881	False	False	3	0	0	3.0	2.937	2	AFR
NA19374	False	False	3	1	0	3.954	4.156	1	AFR
HG00513	False	False	2	2	0	3.907	3.953	0	EAS
HG03611	False	False	2	2	0	3.982	4.255	0	SAS
HG01149	False	False	2	2	0	3.944	3.904	0	AMR
HG03458	False	False	3	1	0	4.033	4.063	1	AFR
HG03451	False	False	3	1	0	3.993	4.007	1	AFR
NA19430	False	False	4	0	0	3.976	3.959	0	AFR
NA20342	False	False	2	2	0	3.985	3.928	0	AFR
NA19431	False	False	3	2	0	5.12	4.948	1	AFR
HG02885	False	False	3	1	0	4.057	3.818	2	AFR
NA19921	False	False	2	2	0	3.858	3.864	0	AFR
NA18924	False	False	2	0	0	1.963	2.02	1	AFR
HG02585	False	False	4	1	0	5.018	4.987	0	AFR
HG02922	False	False	3	1	0	4.066	3.922	1	AFR
HG03476	False	False	3	1	0	4.007	3.948	2	AFR
NA19908	False	False	3	1	0	4.04	4.118	1	AFR
HG02143	False	False	4	0	0	3.985	3.91	2	AFR
NA19102	False	False	3	1	0	3.995	3.996	2	AFR
HG03517	False	False	3	1	0	3.929	3.965	1	AFR
HG01894	False	False	3	0	0	2.995	3.138	2	AFR
HG03556	False	False	2	2	0	3.986	3.949	1	AFR
NA20346	False	False	2	1	0	2.979	3.019	0	AFR
HG02582	False	False	4	0	0	3.855	3.956	3	AFR
HG03547	False	False	2	2	0	4.054	3.92	1	AFR
NA20351	False	False	2	2	0	4.021	4.167	0	AFR
HG03436	False	False	3	0	0	2.978	3.176	0	AFR
HG02323	False	False	3	1	0	3.974	4.095	1	AFR
NA19835	False	False	3	1	0	3.966	4.156	1	AFR
NA18879	False	False	3	1	0	3.841	3.922	0	AFR
HG02588	False	False	2	2	0	3.877	4.024	0	AFR
HG02974	False	False	3	1	0	3.964	3.967	1	AFR
HG03485	False	False	3	1	0	3.994	3.91	1	AFR
NA19982	False	False	3	1	0	3.86	3.87	1	AFR
HG02562	False	False	3	1	0	3.956	3.914	1	AFR
NA19437	False	False	3	0	1	3.897	2.86	1	AFR
HG02012	False	False	2	2	0	3.992	3.91	0	AFR
NA19834	False	False	2	1	0	2.95	2.959	1	AFR
NA19114	False	False	2	1	0	2.888	2.866	0	AFR
NA19462	False	False	2	2	0	3.868	3.982	0	AFR
HG02343	False	False	2	2	0	3.956	3.83	0	AFR
HG03572	False	False	2	2	0	3.9	3.958	0	AFR
NA20126	False	None	None	None	0	2.93	3.018	0	AFR
HG03114	False	False	2	2	0	3.988	3.87	1	AFR
NA20348	False	False	3	0	0	2.927	2.86	1	AFR
HG02586	False	False	3	1	0	3.908	3.807	1	AFR
HG02337	False	False	2	1	0	2.985	3.294	0	AFR
HG03455	False	False	2	1	0	3.128	3.048	0	AFR
HG02419	False	False	4	0	0	3.917	3.94	2	AFR
HG03559	False	None	None	None	0	4.065	4.113	1	AFR
NA19436	False	False	2	2	0	3.922	4.006	0	AFR
NA20356	False	False	2	1	0	2.985	2.959	0	AFR
NA19099	False	False	4	0	0	3.954	3.901	1	AFR
NA19920	False	False	2	2	0	4.066	4.22	0	AFR
HG03557	False	False	2	1	0	2.979	3.04	1	AFR
NA19439	False	False	2	0	0	2.036	2.11	0	AFR
HG03099	False	False	4	0	0	4.039	4.086	1	AFR
NA20359	False	False	3	1	0	3.914	4.146	1	AFR
HG02325	False	False	4	0	0	3.982	4.14	2	AFR
HG03577	False	False	2	1	0	3.098	2.983	0	AFR
NA19093	False	False	3	0	0	2.895	2.994	0	AFR
HG02420	False	False	3	1	0	3.971	4.283	1	AFR
NA18915	False	False	3	1	0	3.874	3.989	1	AFR
HG03548	False	False	3	0	0	3.057	3.077	1	AFR
NA19108	False	False	2	1	0	2.973	3.01	0	AFR
NA19435	False	False	2	0	0	2.019	1.918	1	AFR
HG03499	False	False	2	1	0	2.992	3.11	0	AFR
HG03391	False	False	4	0	0	3.835	4.002	3	AFR
NA20412	False	False	2	1	0	2.97	3.195	0	AFR
NA19440	False	False	3	1	0	3.953	3.914	1	AFR
HG02973	False	False	2	1	0	2.93	2.905	0	AFR
NA19141	False	False	2	1	0	2.981	2.937	1	AFR
HG03563	False	False	2	2	0	3.945	3.996	1	AFR
NA19909	False	False	2	2	0	3.943	4.053	1	AFR
HG03121	False	False	2	2	0	3.947	3.904	0	AFR
NA18488	False	False	3	1	0	3.906	3.914	0	AFR
HG02594	False	False	2	1	0	2.914	2.842	1	AFR
HG03449	False	False	3	0	0	2.959	3.171	2	AFR
HG03115	False	False	3	0	0	2.938	2.927	1	AFR
NA19467	False	False	3	0	0	2.928	3.05	2	AFR
NA18489	False	False	3	1	0	4.057	3.963	1	AFR
HG03515	False	False	2	2	0	3.989	3.843	1	AFR
NA20281	False	False	2	2	0	3.989	4.207	0	AFR
HG02611	False	False	3	1	0	4.019	3.936	1	AFR
HG03583	False	True	1	1	0	2.071	2.004	0	AFR
HG02442	False	False	2	1	0	2.962	2.839	1	AFR
HG03271	False	False	2	1	0	3.05	3.113	0	AFR
NA19098	False	False	3	1	0	3.886	3.867	1	AFR
HG03109	False	False	4	0	0	3.949	4.038	2	AFR
HG02427	False	False	3	1	0	3.992	3.901	1	AFR
HG02634	False	False	3	1	0	3.955	3.934	2	AFR
NA20357	False	False	3	1	0	4.061	4.159	1	AFR
NA19434	False	False	2	2	0	3.963	4.146	0	AFR
HG03575	False	False	2	2	0	4.022	4.015	0	AFR
HG03268	False	False	2	1	0	3.068	3.114	0	AFR
NA19116	False	False	2	1	0	2.968	2.98	0	AFR
NA20276	False	False	2	2	0	3.985	3.922	0	AFR
HG02944	False	False	2	1	0	3.015	2.973	1	AFR
NA19448	False	False	3	0	0	2.917	2.935	1	AFR
NA19119	False	False	3	1	0	3.934	3.875	1	AFR
HG03571	False	False	3	1	0	3.984	3.944	1	AFR
NA20282	False	False	2	2	0	3.902	4.037	2	AFR
HG02429	False	False	2	2	0	3.943	3.862	0	AFR
NA19463	False	False	3	1	0	4.003	3.948	1	AFR
NA19438	False	False	2	2	0	3.841	3.831	1	AFR
NA20287	False	False	3	1	0	3.897	4.07	1	AFR
HG02595	False	False	3	1	0	4.129	3.847	1	AFR
HG03578	False	False	4	0	0	3.848	3.998	0	AFR
HG03100	False	False	2	2	0	3.975	4.116	0	AFR
HG02635	False	False	3	1	0	3.853	3.906	1	AFR
NA19443	False	False	2	2	0	3.976	4.143	0	AFR
HG03514	False	False	3	0	0	3.012	2.923	1	AFR
NA20278	False	False	3	0	1	3.892	3.124	1	AFR
HG02610	False	False	2	2	0	4.151	3.948	0	AFR
HG03291	False	False	3	1	0	3.964	3.851	1	AFR
HG03452	False	False	2	2	0	3.852	4.162	1	AFR
NA19472	False	False	2	2	0	3.891	3.95	0	AFR
HG03294	False	False	2	1	0	2.992	3.091	1	AFR
NA19129	False	False	4	1	0	4.863	4.854	1	AFR
HG03301	False	False	3	0	0	2.976	2.9	1	AFR
NA19137	False	False	2	1	0	2.908	2.986	2	AFR
NA19471	False	False	4	0	0	4.054	4.024	2	AFR
HG02953	False	False	3	1	0	3.913	4.018	0	AFR
NA19916	False	False	4	0	0	3.824	3.824	2	AFR
HG02433	False	False	2	2	0	3.9	3.956	0	AFR
HG02621	False	False	3	0	0	2.927	3.199	2	AFR
HG03295	False	False	3	1	0	4.066	3.762	0	AFR
HG03124	False	False	3	2	0	5.044	5.253	1	AFR
NA19466	False	False	4	0	0	4.014	3.926	3	AFR
HG02970	False	False	2	1	0	2.958	2.984	2	AFR
HG02620	False	False	3	1	0	4.007	3.806	2	AFR
HG02623	False	False	3	1	0	3.89	3.798	1	AFR
HG03300	False	False	2	1	0	2.933	3.01	1	AFR
HG02613	False	False	2	2	0	3.993	4.086	0	AFR
HG02971	False	False	3	1	0	3.903	4.031	1	AFR
HG02628	False	False	3	1	0	3.891	3.947	1	AFR
NA19473	False	False	3	1	0	3.946	3.785	1	AFR
NA19445	False	False	2	2	0	4.046	4.211	0	AFR
HG02947	False	False	3	1	0	3.881	3.93	1	AFR
NA19143	False	False	2	0	0	2.031	2.089	0	AFR
HG02471	False	False	2	2	0	4.046	4.02	0	AFR
HG03280	False	False	3	0	0	2.976	3.043	0	AFR
HG02583	False	False	2	2	0	3.868	4.021	0	AFR
NA19138	False	False	3	0	0	3.029	3.004	1	AFR
HG02771	False	True	1	3	0	3.991	4.008	0	AFR
NA19468	False	False	2	1	0	2.99	3.191	0	AFR
HG02489	False	False	3	0	0	2.895	2.954	1	AFR
HG02946	False	False	2	1	0	3.041	3.01	2	AFR
HG02716	False	False	3	1	0	3.871	4.079	2	AFR
NA19446	False	False	3	1	0	3.917	4.02	1	AFR
HG02445	False	None	None	None	None	3.837	3.496	None	AFR
NA19144	False	False	2	2	0	3.979	4.271	0	AFR
HG02449	False	False	2	1	0	2.948	2.963	0	AFR
NA19449	False	False	2	2	0	3.856	3.956	1	AFR
NA19026	False	False	4	1	0	4.866	4.998	2	AFR
HG02715	False	False	3	0	0	3.044	3.169	2	AFR
NA19017	False	False	3	0	0	2.892	3.147	2	AFR
NA19455	False	False	3	1	0	3.886	3.958	1	AFR
HG02643	False	False	2	2	0	4.002	3.744	0	AFR
HG02804	False	False	3	0	0	2.977	2.969	0	AFR
NA19020	False	False	2	1	0	2.968	2.904	1	AFR
HG02461	False	False	2	2	0	3.856	3.894	0	AFR
NA19475	False	False	4	0	0	3.976	3.903	4	AFR
NA19451	False	False	3	0	0	3.012	2.886	1	AFR
HG03120	False	False	3	1	0	3.927	4.106	1	AFR
HG02629	False	False	4	0	0	3.983	3.941	1	AFR
HG02557	False	False	None	None	0	4.015	4.004	1	AFR
NA19024	False	False	3	1	0	3.941	3.996	1	AFR
HG02450	False	False	3	1	0	3.831	4.005	1	AFR
HG02645	False	False	2	1	0	2.942	3.132	2	AFR
HG02977	False	False	2	2	0	3.854	3.942	0	AFR
NA19019	False	False	4	3	0	6.853	7.002	1	AFR
NA19454	False	False	2	1	0	2.901	2.904	1	AFR
HG02545	False	False	2	2	0	3.905	4.108	0	AFR
HG02470	False	False	2	1	0	2.893	3.039	0	AFR
HG03279	False	False	2	1	0	2.893	3.036	0	AFR
NA19452	False	False	4	0	0	4.065	4.037	2	AFR
HG02642	False	False	4	0	0	3.96	3.719	3	AFR
NA20127	False	False	2	0	0	1.964	1.88	1	AFR
